Entidad,Municipio,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Puebla,Amixtlán,0.983,241.468,500.489,4087.596,30.886,25.569,90.51100000000001
Puebla,Amozoc,66.384,2746.073,1243.7379999999998,3128.3059999999996,189.451,154.665,231.517
Puebla,Aquixtla,2.81,585.263,410.694,1363.138,63.711000000000006,49.739999999999995,140.567
Puebla,Atempan,5.618,1305.812,706.7760000000001,2456.233,112.425,98.514,143.029
Puebla,Atexcal,0.8219999999999998,204.229,403.243,1653.3090000000002,36.695,20.499000000000002,83.866
Puebla,Atlequizayan,0.441,122.741,597.822,2408.359,17.404,14.71,25.525000000000002
Puebla,Atlixco,44.678,8586.465,2327.7129999999997,5736.429,352.43899999999996,284.974,535.668
Puebla,Atoyatempan,2.387,447.463,843.029,2905.031,31.739,22.229,234.27700000000002
Puebla,Atzala,0.6689999999999998,87.287,570.703,4661.163,10.241999999999999,7.0809999999999995,19.947
Puebla,Atzitzihuacán,2.708,626.4399999999999,461.044,2141.774,87.518,55.108000000000004,98.22399999999999
Puebla,Atzitzintla,3.184,516.001,463.58900000000006,1400.5610000000001,82.985,48.440999999999995,155.058
Puebla,Axutla,0.4089999999999999,101.96299999999998,59.516000000000005,2903.145,9.088000000000001,4.662000000000001,11.404
Puebla,Ayotoxco de Guerrero,1.82,438.854,298.532,1313.17,61.634,40.604,125.725
Puebla,Calpan,3.42,688.491,484.26,1449.778,60.003,43.662,71.39399999999999
Puebla,Caltepec,1.1189999999999998,268.957,151.015,1044.3410000000001,48.178,29.197000000000003,151.33
Puebla,Camocuautla,0.4509999999999998,126.408,89.02899999999998,2217.13,17.42,14.881,35.293
Puebla,Caxhuacan,0.654,181.715,288.328,1068.048,20.645999999999997,17.768,36.15
Puebla,Cañada Morelos,5.679,812.335,740.78,1911.883,91.39399999999998,50.708,446.978
Puebla,Chalchicomula de Sesma,13.432,2031.117,907.557,2236.94,225.383,124.97699999999999,531.107
Puebla,Chapulco,1.895,301.09000000000003,334.189,972.011,40.294,32.148,47.528
Puebla,Chiautla,5.679,1196.681,274.536,3197.638,154.479,83.943,119.551
Puebla,Chiautzingo,4.432,875.0709999999999,516.246,1551.993,68.525,49.992000000000004,84.97200000000001
Puebla,Chichiquila,3.682,982.6949999999999,764.624,2882.866,134.39000000000001,112.848,188.013
Puebla,Chiconcuautla,2.608,726.022,370.39200000000005,2957.46,91.48100000000001,80.38999999999999,128.398
